AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,class
151,41,4,26,21,19,2,288,68,9,45,39,35,A,W,28,56,2,A
399,102,3,56,34,34,5,670,167,4,89,48,54,A,W,211,9,3,A
336,93,9,35,46,23,15,5779,1610,128,730,741,497,A,W,0,0,0,A
616,163,27,83,107,32,3,1437,377,65,181,227,82,A,W,110,308,15,A
219,47,8,24,26,17,12,1188,286,23,100,125,63,A,W,260,58,4,A
618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,A,E,330,16,8,A
257,66,5,31,26,32,14,3910,979,33,518,324,382,N,W,87,166,14,A
404,92,11,54,49,18,6,1354,325,30,188,135,63,A,E,222,5,5,A
315,73,5,23,37,16,4,450,108,6,38,46,28,A,W,227,15,3,A
212,54,13,28,44,18,2,233,59,13,31,46,20,A,E,243,23,5,A
161,43,4,17,26,22,3,707,179,21,77,99,76,A,W,300,12,2,A
441,118,28,84,86,68,8,2723,750,126,433,420,309,A,E,190,2,2,A
550,147,29,85,91,71,6,2816,815,117,405,474,319,A,W,1218,104,10,A
344,85,24,69,64,88,7,911,214,64,150,156,187,A,W,0,0,0,A
680,223,31,119,96,34,3,1928,587,35,262,201,91,A,W,429,8,6,A
283,70,8,33,37,27,12,4479,1222,94,557,483,307,A,E,156,2,2,A
491,141,11,77,47,37,15,4291,1240,84,615,430,340,A,E,239,8,2,A
589,149,21,89,86,64,7,3558,928,102,513,471,351,A,E,371,6,6,A
464,128,28,67,94,52,13,5829,1552,210,740,840,452,A,W,0,0,0,A
338,92,18,42,60,21,3,682,185,36,88,112,50,A,E,0,0,0,A
508,146,8,80,44,46,9,3148,915,41,571,289,326,A,W,245,5,9,A
584,157,20,95,73,63,10,4704,1320,93,724,522,576,A,E,276,421,11,A
625,179,4,94,60,65,5,1696,476,12,216,163,166,A,E,303,450,14,A
489,131,19,77,55,34,7,2051,549,62,300,263,153,A,W,310,9,9,A
490,148,14,64,78,49,13,3400,1000,113,445,491,301,A,E,0,0,0,N
209,59,6,20,37,27,4,884,209,14,66,106,92,N,E,415,35,3,N
442,131,18,68,77,33,6,1416,398,47,210,203,136,A,E,233,7,7,A
317,88,3,40,32,19,8,2543,715,28,269,270,118,A,W,220,16,4,A
288,65,8,30,36,27,9,2815,698,55,315,325,189,N,E,259,30,10,A
209,54,3,25,14,12,1,209,54,3,25,14,12,A,W,102,6,3,A
303,71,3,18,30,36,3,344,76,3,20,36,45,N,E,468,47,6,N
330,77,19,47,53,27,6,1928,516,90,247,288,161,N,W,149,8,6,N
504,120,28,71,71,54,3,1085,259,54,150,167,114,A,E,103,283,19,A
258,60,8,28,33,18,3,638,170,17,80,75,36,A,W,358,32,8,A
20,1,0,0,0,0,2,41,9,2,6,7,4,N,E,78,220,6,N
374,94,5,36,26,62,7,1968,519,26,181,199,288,N,W,756,64,15,N
211,43,10,26,35,39,3,498,116,14,59,55,78,A,W,463,32,8,A
299,75,6,38,23,26,3,580,160,8,71,33,44,N,E,212,1,2,N
576,167,8,89,49,57,4,822,232,19,132,83,79,N,E,325,12,8,N
381,110,9,61,45,32,7,3015,834,40,451,249,168,N,E,228,7,5,N
288,76,7,34,37,15,4,1644,408,16,198,120,113,N,W,203,3,3,N
369,93,9,43,42,49,5,1258,323,54,181,177,157,A,E,149,1,6,A
330,76,12,35,41,47,4,1367,326,55,167,198,167,N,W,512,30,5,N
547,137,2,58,47,12,2,1038,271,3,129,80,24,A,W,261,459,22,A
572,152,18,105,49,65,2,978,249,36,168,91,101,A,W,325,13,3,A
359,84,4,46,27,21,12,4992,1257,37,699,386,387,N,W,151,8,5,N
514,144,0,67,54,79,9,4739,1169,13,583,374,528,N,E,229,453,15,N
359,80,15,45,48,63,7,1493,359,61,176,202,175,N,W,682,93,13,N
526,163,12,88,50,77,4,1556,470,38,245,167,174,A,W,250,11,1,A
313,83,9,43,41,30,14,5885,1543,104,751,714,535,N,W,58,141,23,N
540,135,30,82,88,55,1,540,135,30,82,88,55,A,W,157,6,14,A
437,123,9,62,55,40,9,4139,1203,79,676,390,364,A,E,82,170,15,A
551,160,23,86,90,87,5,2235,602,75,278,328,273,A,W,1224,115,11,A
237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,N,W,523,43,6,N
236,56,6,41,19,21,5,1257,329,24,166,125,105,A,E,172,1,4,A
473,154,6,61,48,29,6,1966,566,29,250,252,178,A,E,846,84,9,A
309,72,0,33,31,26,5,354,82,0,41,32,26,N,E,117,269,12,N
271,77,5,35,29,33,12,4933,1358,48,630,435,403,A,W,62,90,3,A
357,96,7,50,45,39,5,1394,344,43,178,192,136,A,W,167,2,4,A
216,56,4,22,18,15,12,2796,665,43,266,304,198,A,E,391,44,4,A
256,70,13,42,36,44,16,7058,1845,312,965,1128,990,N,E,41,118,8,A
466,108,33,75,86,72,3,652,142,44,102,109,102,A,E,286,8,8,A
327,68,13,42,29,45,18,3949,939,78,438,380,466,A,E,659,53,7,A
462,119,16,49,65,37,7,2131,583,69,244,288,150,A,E,866,65,6,A
341,110,9,45,49,46,9,2331,658,50,249,322,274,A,E,251,9,4,A
608,160,28,130,74,89,8,4071,1182,103,862,417,708,A,E,426,4,6,A
419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,A,W,0,0,0,A
33,6,0,2,4,7,1,33,6,0,2,4,7,A,W,205,5,4,A
376,82,21,42,60,35,5,1770,408,115,238,299,157,A,W,0,0,0,A
486,145,11,51,76,40,11,3967,1102,67,410,497,284,N,E,88,204,16,A
186,44,7,28,16,11,1,186,44,7,28,16,11,N,W,99,3,1,N
307,80,1,42,36,29,7,2421,656,18,379,198,184,A,W,145,2,2,A
246,76,5,35,39,13,6,912,234,12,102,96,80,A,E,44,0,1,A
205,52,8,31,27,17,12,5134,1323,56,643,445,459,A,E,155,3,2,A
348,90,11,50,45,43,10,2288,614,43,295,273,269,A,E,60,176,6,A
523,135,8,52,44,52,9,3368,895,39,377,284,296,N,W,367,475,19,N
312,68,2,32,22,24,1,312,68,2,32,22,24,A,E,86,150,15,A
496,119,8,57,33,21,7,3358,882,36,365,280,165,N,W,155,371,29,N
126,27,3,8,10,5,4,239,49,3,16,13,14,N,E,190,2,9,N
275,68,5,42,42,61,6,961,238,16,128,104,172,N,E,181,3,2,N
627,178,14,68,76,46,6,3146,902,74,494,345,242,N,E,309,492,5,N
394,86,1,38,28,36,4,1089,267,3,94,71,76,N,E,203,369,16,N
208,57,8,32,25,18,3,653,170,17,98,54,62,N,E,42,94,13,N
382,101,16,50,55,22,1,382,101,16,50,55,22,A,W,200,7,6,A
459,113,20,59,57,68,12,5348,1369,155,713,660,735,A,W,0,0,0,A
549,149,7,73,47,42,1,549,149,7,73,47,42,N,W,255,450,17,N
288,63,3,25,33,16,10,2682,667,38,315,259,204,A,W,135,257,7,A
303,84,4,35,32,23,2,312,87,4,39,32,23,N,W,179,5,3,N
522,163,9,82,46,62,13,7037,2019,153,1043,827,535,A,E,352,9,1,A
512,117,29,54,88,43,6,1750,412,100,204,276,155,A,W,1236,98,18,A
220,66,5,20,28,13,3,290,80,5,27,31,15,A,W,281,21,3,A
522,140,16,73,77,60,4,730,185,22,93,106,86,N,E,1320,166,17,N
461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,111,226,11,A
581,145,17,66,68,21,2,831,210,21,106,86,40,N,E,320,465,32,N
530,159,3,82,50,47,6,1619,426,11,218,149,163,A,W,196,354,15,A
557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,N,W,1160,53,7,N
439,96,0,44,36,65,4,711,148,1,68,56,99,N,E,229,406,22,N
453,103,8,53,33,52,2,507,123,8,63,39,58,A,W,289,407,6,A
528,122,1,67,45,51,4,1716,403,12,211,146,155,A,W,209,372,17,A
633,210,6,91,56,59,6,3070,872,19,420,230,274,N,W,367,432,16,N
16,2,0,1,0,0,2,28,4,0,1,0,0,A,E,247,4,8,A
562,169,17,88,73,53,8,3181,841,61,450,342,373,A,E,351,442,17,A
281,76,3,42,25,20,8,2658,657,48,324,300,179,A,E,106,144,7,A
593,152,23,69,75,53,6,2765,686,133,369,384,321,A,W,315,10,6,A
687,213,10,91,65,27,4,1518,448,15,196,137,89,A,E,294,445,13,A
368,103,3,48,28,54,8,1897,493,9,207,162,198,N,W,209,246,3,N
263,70,1,26,23,30,4,888,220,9,83,82,86,N,E,81,147,4,N
642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,337,19,4,N
265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,92,5,3,A
289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,A,W,166,211,7,A
559,141,2,48,61,73,8,3162,874,16,421,349,359,N,E,352,414,9,N
520,120,17,53,44,21,4,927,227,22,106,80,52,A,W,70,144,11,A
19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,692,70,8,A
205,43,2,24,17,20,7,854,219,12,105,99,71,N,E,131,6,1,N
193,47,10,21,29,24,6,1136,256,42,129,139,106,A,W,299,13,5,A
181,46,1,19,18,17,5,937,238,9,88,95,104,A,E,37,98,9,A
213,61,4,17,22,3,17,4061,1145,83,488,491,244,A,W,178,45,4,A
510,147,10,56,52,53,7,2872,821,63,307,340,174,N,E,810,99,18,N
578,138,1,56,59,34,3,1399,357,7,149,161,87,N,E,133,371,20,N
200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,N,W,398,29,7,N
441,113,5,76,52,76,5,1546,397,17,226,149,191,A,W,160,290,11,A
172,42,3,17,14,15,10,4086,1150,57,579,363,406,N,W,65,0,0,N
580,194,9,91,62,78,8,3372,1028,48,604,314,469,N,E,270,13,6,N
127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,N,W,167,18,6,N
279,69,4,35,31,32,4,1359,355,31,180,148,158,N,E,133,173,9,N
480,112,18,50,71,44,7,3031,771,110,338,406,239,N,E,94,270,16,N
600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,300,12,9,N
610,186,19,107,98,74,6,2728,753,69,399,366,286,N,E,1182,96,13,N
360,81,5,37,44,37,7,2268,566,41,279,257,246,N,E,170,284,3,N
387,124,1,67,27,36,7,1775,506,6,272,125,194,N,E,186,290,17,N
580,207,8,107,71,105,5,2778,978,32,474,322,417,A,E,121,267,19,A
408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,942,72,11,N
593,172,22,82,100,57,1,593,172,22,82,100,57,A,W,1222,139,15,A
221,53,2,21,23,22,8,1063,283,15,107,124,106,N,E,325,58,6,N
497,127,7,65,48,37,5,2703,806,32,379,311,138,N,E,325,9,3,N
492,136,5,76,50,94,12,5511,1511,39,897,451,875,A,E,313,381,20,A
475,126,3,61,43,52,6,1700,433,7,217,93,146,A,W,37,113,7,A
573,144,9,85,60,78,8,3198,857,97,470,420,332,A,E,1314,131,12,A
631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,408,4,3,A
