class,"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
0,"y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
0,"n","y","y","n","n","n","n","y","y","n","y","n","n","y","y","y"
0,"n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"n","y","y","n","y","y","n","n","n","n","y","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
1,"n","n","n","y","y","n","n","n","n","n","n","y","y","y","n","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"n","n","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
1,"n","y","y","y","y","y","y","n","y","y","n","y","y","y","n","y"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
1,"n","y","n","y","y","y","n","n","y","y","n","y","y","y","n","y"
0,"n","y","y","n","n","n","y","y","n","n","y","n","n","n","y","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
0,"n","n","y","n","n","y","y","y","y","y","n","y","n","y","y","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
0,"n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","y","y","y","n","n","n","y","y","n","n","y"
0,"y","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
1,"n","n","n","y","y","y","y","n","n","y","n","n","n","y","y","y"
1,"n","n","n","y","n","y","y","y","y","n","n","y","y","y","n","y"
0,"y","n","y","n","n","n","y","y","y","y","y","n","n","y","y","y"
1,"n","n","n","n","y","y","y","n","n","n","n","y","n","y","y","y"
0,"n","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
0,"y","n","y","n","n","n","n","y","y","y","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
0,"n","n","y","n","y","n","y","y","y","n","n","n","n","y","y","y"
1,"n","y","n","y","y","y","y","n","n","n","n","y","y","y","n","n"
1,"y","y","y","y","y","y","y","y","y","y","y","y","y","y","y","y"
0,"y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
0,"y","y","y","n","n","y","y","y","y","n","n","n","n","n","y","y"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y"
1,"n","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n"
1,"n","n","n","y","y","n","n","n","n","n","n","y","n","y","y","y"
0,"n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
0,"y","n","y","n","n","y","y","y","y","n","y","y","n","y","y","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
1,"y","n","n","n","n","n","y","y","y","y","n","n","n","y","n","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
0,"y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"n","y","y","n","n","y","y","y","y","n","y","n","n","n","n","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
1,"n","n","n","y","y","n","y","y","n","y","n","y","y","y","y","y"
1,"y","n","n","y","y","n","y","n","n","y","n","n","n","y","y","y"
0,"n","n","y","n","y","y","n","n","n","n","y","n","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","y","n"
1,"n","n","y","y","y","y","y","y","n","y","n","n","n","y","n","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
0,"n","n","y","n","n","n","y","y","y","y","n","n","n","y","n","y"
1,"y","n","y","y","y","y","y","y","n","n","n","n","n","y","n","y"
1,"y","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"n","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y"
0,"n","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y"
0,"n","n","y","n","n","y","y","y","y","y","y","y","n","y","y","y"
0,"y","y","y","y","n","y","y","y","y","n","y","n","y","n","y","y"
0,"y","y","y","n","y","y","n","y","n","y","y","n","y","y","y","y"
0,"y","y","y","n","y","y","n","y","n","y","y","n","y","y","n","y"
0,"y","n","y","n","y","y","y","y","y","y","n","n","y","y","n","y"
0,"y","n","y","n","n","y","y","y","y","y","n","y","n","y","n","y"
0,"y","n","y","n","n","y","y","y","n","y","y","n","y","y","y","y"
0,"y","y","y","n","n","y","y","y","y","y","y","n","y","y","y","y"
0,"n","y","y","n","n","y","y","y","n","y","y","n","y","y","n","y"
1,"n","y","n","y","y","y","y","y","n","y","n","y","y","y","y","y"
1,"n","n","y","y","y","y","n","n","n","y","n","y","y","y","y","y"
0,"y","y","y","n","n","y","y","y","y","y","n","n","y","n","y","y"
0,"n","y","n","n","n","n","y","y","y","y","y","n","n","n","y","y"
0,"n","y","y","n","n","y","y","y","y","y","n","n","y","y","y","y"
1,"n","n","n","y","y","n","y","y","y","y","n","y","y","y","n","y"
0,"n","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y"
1,"n","n","n","y","y","y","y","n","n","y","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
0,"y","n","y","n","n","y","y","y","y","n","n","n","n","y","n","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
0,"y","n","n","n","n","y","y","y","y","y","n","n","n","y","y","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","y","n"
0,"n","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
0,"y","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
1,"n","y","y","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"n","y","n","y","y","y","y","y","n","n","y","y","y","y","y","y"
1,"n","y","y","y","y","y","y","y","n","n","n","n","y","y","y","y"
0,"n","n","n","n","n","y","n","y","y","n","y","y","y","y","y","n"
0,"y","n","n","n","n","n","y","y","y","y","n","n","n","n","y","y"
0,"n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"n","y","y","n","n","y","n","y","y","y","n","n","y","y","n","y"
0,"y","y","y","n","n","n","y","y","y","y","n","n","y","n","n","y"
0,"y","y","y","n","y","y","n","y","n","n","y","n","y","y","n","y"
0,"y","y","y","n","y","y","n","y","y","y","n","n","y","y","n","y"
1,"n","y","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
0,"n","y","n","n","y","y","n","n","y","n","n","y","y","y","n","y"
0,"y","y","n","y","n","n","y","y","y","n","y","n","n","y","n","y"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y"
0,"y","y","y","n","n","y","y","y","y","y","n","n","n","n","y","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
0,"y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
0,"n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"n","y","y","n","n","y","y","y","y","n","y","y","n","n","y","y"
1,"n","n","n","y","y","y","n","n","n","y","y","y","y","y","n","y"
0,"n","n","y","n","n","y","y","y","n","n","y","n","n","y","y","y"
0,"y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","y","y","y"
1,"y","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","y","y","y","n","y","n","y"
0,"n","y","y","y","n","y","y","y","y","y","y","n","y","y","y","y"
0,"n","y","y","n","y","y","y","n","n","y","y","n","y","n","y","y"
1,"n","n","n","y","y","n","y","n","y","y","n","n","n","y","n","y"
0,"n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
1,"n","n","n","y","y","y","y","n","n","y","n","y","n","y","y","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"y","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
0,"y","n","y","n","n","n","y","y","y","y","n","y","n","n","y","y"
1,"n","y","y","y","y","y","y","y","y","n","n","y","y","y","n","y"
0,"n","y","n","n","n","y","y","n","y","n","y","n","n","n","y","y"
1,"n","n","y","y","y","y","y","y","y","y","n","y","y","y","y","y"
0,"n","y","n","y","n","y","y","y","y","n","y","n","y","n","y","y"
1,"n","n","y","y","y","y","y","n","n","y","y","y","y","y","n","y"
0,"n","y","y","n","n","y","y","y","y","y","n","y","n","n","y","y"
1,"y","n","y","y","n","n","n","y","y","y","n","n","n","y","y","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
0,"y","y","y","n","n","y","y","y","y","y","y","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","y","y","y","y","y","n","y"
0,"y","n","y","n","n","y","y","y","y","y","n","n","y","n","n","y"
0,"y","n","y","n","y","y","y","n","y","y","n","n","y","y","n","y"
0,"y","y","y","n","n","y","y","y","y","y","y","y","y","n","n","y"
1,"y","y","n","y","y","y","n","n","n","y","y","n","y","n","n","n"
1,"y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y"
0,"n","y","n","n","y","y","n","n","n","y","y","n","y","y","n","n"
0,"y","n","y","n","n","n","y","y","n","y","y","n","n","n","n","y"
0,"y","y","y","n","y","y","y","y","n","y","y","n","n","n","y","y"
0,"n","y","y","n","n","y","y","y","n","y","n","n","n","n","y","y"
1,"n","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
0,"y","y","y","n","y","y","y","y","n","y","y","y","n","n","y","y"
0,"y","y","y","n","y","n","y","y","y","y","n","n","n","n","y","y"
0,"n","y","y","y","y","y","n","n","n","n","y","y","y","y","n","n"
0,"n","y","y","y","y","y","n","y","n","y","y","n","y","y","y","y"
1,"n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"n","y","n","y","y","y","n","n","n","n","y","y","n","y","n","n"
0,"y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
1,"n","y","n","y","y","y","y","y","n","n","y","y","y","y","y","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","y","y","n","n","y","y","y","y","n","y","n","y","n","y","y"
0,"y","y","y","n","y","y","y","y","y","y","y","n","y","y","n","y"
0,"y","y","n","y","y","y","n","n","n","n","y","n","y","y","n","y"
0,"y","y","y","n","y","y","n","y","y","y","y","n","n","n","n","y"
0,"y","y","y","y","y","y","n","n","n","n","y","y","y","y","n","y"
0,"y","y","n","n","y","y","n","n","n","n","y","y","y","y","y","n"
0,"n","y","y","n","y","y","n","y","n","n","y","n","n","n","n","y"
0,"y","y","y","n","y","y","n","y","y","n","y","n","n","y","n","y"
0,"n","y","y","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
0,"y","y","n","n","y","y","y","n","n","n","y","y","n","y","n","y"
0,"y","y","n","n","n","n","n","y","y","n","y","n","n","n","y","n"
1,"y","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
1,"y","y","y","y","n","y","n","y","y","n","n","y","y","n","n","y"
0,"y","y","y","y","y","y","n","n","n","n","y","n","y","n","n","y"
0,"y","y","y","y","n","n","n","y","n","n","y","y","n","n","y","y"
0,"y","y","y","n","y","y","n","y","n","n","y","n","y","n","y","y"
0,"y","y","n","n","y","y","n","n","n","n","y","n","y","y","n","y"
0,"n","y","y","n","y","y","n","y","n","n","n","n","n","n","n","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
1,"n","y","n","y","y","y","n","y","n","n","y","y","y","y","n","y"
1,"n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
1,"y","n","y","y","n","y","y","y","y","y","n","y","n","y","n","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
1,"y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
0,"y","n","y","n","y","y","n","n","y","y","n","n","y","y","n","y"
0,"n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","n"
0,"y","n","y","n","n","y","y","y","y","n","n","y","y","y","y","y"
1,"n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
1,"n","n","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
0,"y","n","y","n","n","y","y","y","y","y","y","n","n","n","n","y"
1,"n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
1,"y","y","y","y","y","y","y","y","n","y","y","y","y","y","n","y"
0,"y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
0,"n","y","y","n","n","y","y","y","y","y","n","n","n","n","n","y"
1,"y","y","n","y","y","y","n","n","n","y","n","n","y","y","n","y"
0,"y","y","y","n","n","n","y","y","y","y","y","n","y","n","n","y"
0,"y","y","y","n","n","n","y","y","n","y","n","n","n","n","n","y"
0,"y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
1,"y","y","y","y","y","y","y","y","n","y","n","n","y","y","n","y"
0,"n","y","y","n","y","y","y","y","n","n","y","n","y","n","y","y"
0,"n","n","y","n","n","y","y","y","y","n","y","n","n","n","y","y"
0,"n","y","y","n","n","y","y","y","y","n","y","n","n","y","y","y"
0,"n","y","y","n","n","y","y","y","y","y","y","n","y","y","y","y"
0,"n","n","y","n","n","n","y","y","n","y","y","n","n","n","y","y"
0,"y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
1,"n","n","n","y","y","y","y","y","n","y","n","y","y","y","n","y"
0,"y","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
0,"y","n","y","n","y","n","y","y","y","y","n","y","n","y","y","y"
1,"n","n","y","y","y","y","n","n","y","y","n","y","y","y","n","y"
0,"n","n","y","n","n","n","y","y","y","y","n","n","n","n","n","y"
1,"n","y","n","y","y","y","n","n","n","n","y","y","y","y","n","y"
1,"n","n","n","y","y","y","y","y","y","y","n","y","y","y","n","y"
1,"n","y","n","y","y","y","n","n","n","y","n","y","y","y","y","n"
